Year;Month;Day;Hour;Minute;Temperature daily mean;Relative humidity daily mean;Mean Sea Level Pressure daily mean;Total Precipitation daily sum;Snowfall amount daily sum;Total cloud cover daily mean;Shortwave Radiation daily sum;Wind speed daily mean;Wind direction daily mean;Temperature daily max;Temperature daily min;Relative humidity daily max;Relative humidity daily min;Mean Sea Level Pressure daily max;Mean Sea Level Pressure daily min;Total cloud cover daily max;Total cloud cover daily min;Wind speed daily max;Wind speed daily min
2016;01;15;00;00;1.65;79.96;1013.17;3.60;0.21;74.25;1505.88;40.53;268.79;4.02;-0.03;92.00;62.00;1015.70;1011.10;100.00;0.00;53.00;33.81
2016;01;16;00;00;1.23;82.17;1022.27;0.90;0.70;86.83;1207.73;21.68;300.99;3.31;-0.81;93.00;62.00;1025.50;1016.10;100.00;16.00;37.17;12.52
2016;01;17;00;00;-0.17;75.67;1025.57;1.30;0.98;42.33;1421.33;22.96;291.22;2.09;-2.57;95.00;52.00;1027.50;1023.40;100.00;0.00;36.46;5.15
2016;01;18;00;00;-1.69;69.71;1020.17;0.00;0.00;50.31;2136.89;17.39;119.73;1.82;-4.89;84.00;50.00;1027.20;1014.20;100.00;0.00;31.35;12.40
2016;01;19;00;00;2.48;82.79;1014.49;3.10;0.98;100.00;1545.93;9.33;134.58;5.96;-0.19;93.00;68.00;1015.60;1013.10;100.00;100.00;16.92;0.00
2016;01;20;00;00;2.65;85.83;1018.37;1.00;0.00;71.50;1982.03;7.00;313.94;3.95;0.68;96.00;74.00;1022.80;1015.40;100.00;1.00;16.17;0.51
2016;01;21;00;00;0.94;79.50;1025.12;0.00;0.00;39.67;2224.11;4.95;112.24;4.47;-1.11;96.00;57.00;1027.90;1022.50;100.00;0.00;10.83;0.00
2016;01;22;00;00;1.66;76.96;1028.76;0.10;0.00;29.79;2322.90;9.01;120.21;5.85;-1.86;87.00;56.00;1030.00;1027.50;100.00;0.00;13.85;4.02
2016;01;23;00;00;6.51;84.75;1033.86;5.80;0.00;51.66;2157.36;12.78;229.37;9.16;2.71;96.00;74.00;1037.90;1028.60;100.00;0.00;21.25;5.09
2016;01;24;00;00;5.14;78.04;1035.41;0.00;0.00;57.04;2276.62;7.34;123.61;10.35;0.39;98.00;65.00;1038.10;1033.40;100.00;5.00;14.90;1.80
2016;01;25;00;00;8.19;59.17;1030.53;0.00;0.00;0.29;2278.40;5.47;108.16;12.21;4.59;72.00;40.00;1033.50;1028.90;3.60;0.00;9.11;3.26
2016;01;26;00;00;9.04;69.38;1030.05;0.00;0.00;24.18;2299.76;5.86;126.95;12.72;6.06;88.00;42.00;1032.30;1027.90;100.00;0.00;9.50;1.30
2016;01;27;00;00;10.18;77.12;1025.99;0.00;0.00;70.24;2080.82;6.43;143.44;14.00;5.82;84.00;60.00;1028.70;1021.90;100.00;2.70;9.22;0.80
2016;01;28;00;00;10.94;76.12;1025.48;3.10;0.00;94.15;1129.41;9.72;221.30;13.23;9.08;97.00;54.00;1027.90;1021.50;100.00;16.50;22.91;1.30
2016;01;29;00;00;8.39;85.62;1031.50;1.90;0.00;48.38;2302.43;8.76;273.57;10.43;6.98;97.00;76.00;1033.90;1028.30;100.00;0.00;15.83;5.09
2016;01;30;00;00;8.05;71.25;1024.11;1.30;0.00;68.72;1826.28;18.52;226.67;12.26;4.40;84.00;52.00;1031.00;1016.50;100.00;0.30;40.55;3.67
2016;01;31;00;00;9.17;82.00;1017.18;11.20;0.00;99.04;1159.67;22.63;254.23;12.30;5.82;90.00;72.00;1019.30;1014.10;100.00;77.00;36.71;5.50
2016;02;01;00;00;11.58;75.29;1025.27;0.00;0.00;49.32;2508.91;25.17;259.72;13.44;9.88;83.00;65.00;1029.20;1017.90;100.00;2.10;35.45;14.83
